,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PFD,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PLUS_MINUS,NEXT_GAME_ID,NEXT_PLUS_MINUS,NEXT_MATCHUP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100.0,last_game
41800121,42018.0,1610612751.0,BKN,Brooklyn Nets,2019-04-13,BKN @ PHI,W,111.0,38.0,88.0,0.43200000000000005,11.0,26.0,0.423,24.0,26.0,0.9229999999999999,10.0,35.0,45.0,15.0,9.0,2.0,11.0,27.0,109.4,112.1,100.5,103.0,8.9,9.1,0.395,1.25,11.9,0.196,0.638,0.477,11.83,12.1,0.494,0.5579999999999999,1.0,0.199,101.46,99.0,82.5,99.0,0.5329999999999999,0.295,0.424,0.488,0.128,0.362,14.0,16.0,7.0,46.0,9.0,23.0,4.0,54.0,11.0,24.0,0.705,0.295,0.486,0.07200000000000001,0.297,0.063,0.21600000000000005,0.126,0.414,0.29600000000000004,0.7040000000000001,0.636,0.364,0.395,0.605,9.0,41800122,-22.0,BKN @ PHI
41800122,42018.0,1610612751.0,BKN,Brooklyn Nets,2019-04-15,BKN @ PHI,L,117.0,40.5,89.0,0.455,13.0,31.0,0.42000000000000004,23.0,27.5,0.841,11.0,27.5,38.5,17.5,6.0,2.0,12.5,25.5,113.4,114.6,116.7,121.2,-3.3,-6.6000000000000005,0.43000000000000005,1.3399999999999999,13.25,0.218,0.5854999999999999,0.433,12.597000000000001,12.7,0.5275000000000001,0.578,1.0,0.198,104.19,101.75,84.78999999999999,102.0,0.44899999999999995,0.3085,0.5155,0.4075,0.119,0.4145,12.5,12.5,10.0,47.0,19.0,22.0,8.0,58.0,7.0,23.5,0.6525,0.34750000000000003,0.47050000000000003,0.0685,0.3315,0.08449999999999999,0.1975,0.10750000000000001,0.402,0.41600000000000004,0.5840000000000001,0.48450000000000004,0.5155000000000001,0.43000000000000005,0.5700000000000001,-22.0,41800123,-16.0,BKN vs. PHI
41800123,42018.0,1610612751.0,BKN,Brooklyn Nets,2019-04-18,BKN vs. PHI,L,116.33333333333333,40.0,91.33333333333333,0.4386666666666667,11.333333333333334,33.666666666666664,0.3483333333333334,25.0,30.0,0.8370000000000001,11.666666666666666,28.333333333333332,40.0,15.666666666666666,6.0,2.0,13.333333333333334,25.0,109.10000000000001,111.89999999999999,117.36666666666667,120.86666666666667,-8.233333333333334,-8.966666666666667,0.38933333333333336,1.1433333333333333,11.700000000000001,0.21766666666666667,0.5993333333333333,0.4446666666666667,13.060000000000002,13.4,0.501,0.5573333333333333,1.0,0.19800000000000004,106.92666666666666,104.0,86.66666666666667,104.0,0.422,0.3273333333333333,0.5226666666666667,0.39566666666666667,0.12766666666666668,0.40066666666666667,15.0,14.333333333333334,9.333333333333334,50.666666666666664,19.666666666666668,21.333333333333332,10.666666666666666,54.0,6.333333333333333,25.333333333333332,0.633,0.367,0.49333333333333335,0.05733333333333334,0.2906666666666667,0.07966666666666666,0.21566666666666667,0.12966666666666668,0.436,0.36333333333333334,0.6366666666666667,0.4896666666666667,0.5103333333333334,0.38933333333333336,0.6106666666666668,-16.0,41800124,-4.0,BKN vs. PHI
41800124,42018.0,1610612751.0,BKN,Brooklyn Nets,2019-04-20,BKN vs. PHI,L,114.25,39.0,91.0,0.42900000000000005,11.5,34.75,0.34025000000000005,24.75,30.25,0.82125,11.75,28.5,40.25,17.5,7.0,2.5,13.5,25.25,107.375,109.65,114.375,117.325,-6.9750000000000005,-7.675,0.45175000000000004,1.2674999999999998,12.875,0.21400000000000002,0.6197499999999999,0.442,13.108250000000002,13.375,0.49250000000000005,0.54825,1.0,0.19825000000000004,106.67999999999999,104.25,86.875,104.25,0.4235,0.3315,0.52825,0.35650000000000004,0.14525,0.38025,18.0,14.25,10.5,49.0,18.25,19.0,10.25,56.0,6.75,25.0,0.61925,0.38075,0.481,0.052250000000000005,0.30125,0.09225,0.21725,0.15975,0.42875,0.46,0.54,0.47150000000000003,0.5285,0.45175000000000004,0.5482500000000001,-4.0,41800125,-22.0,BKN @ PHI
41800125,42018.0,1610612751.0,BKN,Brooklyn Nets,2019-04-23,BKN @ PHI,L,111.4,38.4,91.4,0.42060000000000003,11.0,34.0,0.33020000000000005,23.6,29.2,0.8089999999999999,11.2,29.2,40.4,19.2,7.6,2.8,13.6,22.8,104.08,105.9,113.1,115.84,-9.0,-9.940000000000001,0.5058,1.3599999999999999,13.88,0.20180000000000003,0.6407999999999999,0.43900000000000006,13.2138,13.419999999999998,0.48100000000000004,0.5347999999999999,1.0,0.19820000000000002,107.63999999999999,105.5,87.916,105.4,0.41859999999999997,0.31900000000000006,0.5386,0.3032,0.1516,0.35919999999999996,17.4,12.2,11.2,48.0,17.8,19.0,11.6,58.4,6.0,24.2,0.6288,0.3712,0.4928,0.06180000000000001,0.29500000000000004,0.1018,0.2118,0.1578,0.43100000000000005,0.5162,0.4838,0.5105999999999999,0.4894,0.5058,0.4942000000000001,-22.0,0,100.0,last_game
41800131,42018.0,1610612738.0,BOS,Boston Celtics,2019-04-14,BOS vs. IND,W,84.0,28.0,77.0,0.364,10.0,28.0,0.35700000000000004,18.0,22.0,0.818,7.0,48.0,55.0,18.0,8.0,2.0,17.0,20.0,84.3,88.4,76.1,77.1,8.2,11.3,0.643,0.9,14.4,0.14300000000000002,0.82,0.5820000000000001,20.064,21.1,0.429,0.485,1.0,0.195,98.46,95.5,79.58,95.0,0.602,0.28600000000000003,0.369,0.25,0.134,0.18,9.0,14.0,24.0,24.0,13.0,14.0,14.0,36.0,5.0,20.0,0.636,0.364,0.429,0.14300000000000002,0.35700000000000004,0.28600000000000003,0.214,0.107,0.28600000000000003,0.5,0.5,0.9,0.1,0.643,0.35700000000000004,10.0,41800132,8.0,BOS vs. IND
41800132,42018.0,1610612738.0,BOS,Boston Celtics,2019-04-17,BOS vs. IND,W,91.5,34.0,80.5,0.42000000000000004,10.5,28.0,0.375,13.0,15.5,0.8534999999999999,7.0,44.5,51.5,20.0,5.5,3.5,15.5,18.0,94.3,96.85,86.75,86.94999999999999,7.5,9.9,0.5965,1.235,16.05,0.14950000000000002,0.857,0.5735,17.4035,18.0,0.48550000000000004,0.524,1.0,0.1975,96.32,94.75,78.955,94.5,0.5685,0.1965,0.447,0.1865,0.131,0.143,16.0,12.0,20.0,36.0,16.5,9.5,14.0,36.0,4.0,18.0,0.6515,0.34850000000000003,0.5075,0.12200000000000001,0.34500000000000003,0.22400000000000003,0.1475,0.1695,0.3855,0.4915,0.5085,0.8135,0.1865,0.5965,0.4035,8.0,41800133,8.0,BOS @ IND
41800133,42018.0,1610612738.0,BOS,Boston Celtics,2019-04-19,BOS @ IND,W,95.66666666666667,35.333333333333336,80.66666666666667,0.4363333333333334,12.0,30.0,0.397,13.0,17.666666666666668,0.766,7.666666666666667,41.666666666666664,49.333333333333336,21.0,5.0,3.6666666666666665,14.666666666666666,18.333333333333332,99.46666666666665,101.83333333333333,91.83333333333333,92.0,7.6000000000000005,9.833333333333334,0.5993333333333334,1.4133333333333333,16.766666666666666,0.165,0.83,0.5576666666666666,16.179000000000002,16.666666666666668,0.511,0.5403333333333333,1.0,0.19866666666666669,95.67999999999999,94.33333333333333,78.61,94.0,0.555,0.22166666666666668,0.4606666666666667,0.219,0.12633333333333333,0.17,14.0,12.333333333333334,16.666666666666668,31.333333333333332,17.666666666666668,8.333333333333334,13.666666666666666,35.333333333333336,4.0,18.333333333333332,0.6276666666666667,0.37233333333333335,0.48566666666666664,0.15833333333333335,0.37433333333333335,0.18133333333333335,0.13999999999999999,0.14500000000000002,0.32766666666666666,0.458,0.5419999999999999,0.8533333333333334,0.14666666666666667,0.5993333333333334,0.40066666666666667,8.0,41800134,4.0,BOS @ IND
41800134,42018.0,1610612738.0,BOS,Boston Celtics,2019-04-21,BOS @ IND,W,99.25,35.5,80.0,0.44275000000000003,11.75,29.5,0.396,16.5,21.75,0.773,7.5,40.25,47.75,20.25,5.5,3.0,15.0,19.5,101.3,103.875,95.025,95.775,6.25,8.1,0.5745,1.3250000000000002,16.099999999999998,0.16175,0.8052499999999999,0.54825,16.262,16.75,0.5162500000000001,0.55325,1.0,0.1985,97.29499999999999,95.625,79.6875,95.5,0.55025,0.27525,0.462,0.24375000000000002,0.12425,0.19475,14.5,11.25,17.0,32.0,17.0,9.5,15.75,37.0,3.5,20.0,0.631,0.369,0.478,0.155,0.35575,0.177,0.16625,0.14500000000000002,0.323,0.4335,0.5665,0.8445,0.1555,0.5745,0.4255,4.0,41800201,22.0,BOS @ MIL
