date,team,site,o:team,line,total
20131029,Heat,home,Bulls,-5.5,187.5
20131029,Bulls,away,Heat,5.5,187.5
20131029,Lakers,home,Clippers,8.5,199.5
20131029,Clippers,away,Lakers,-8.5,199.5
20131029,Pacers,home,Magic,-11.5,188.5
20131029,Magic,away,Pacers,11.5,188.5
20131030,Cavaliers,home,Nets,3,194.5
20131030,Nets,away,Cavaliers,-3,194.5
20131030,Jazz,home,Thunder,6,192.5
20131030,Thunder,away,Jazz,-6,192.5
20131030,Kings,home,Nuggets,-2.5,204
20131030,Nuggets,away,Kings,2.5,204
20131030,Knicks,home,Bucks,-7.5,196
20131030,Bucks,away,Knicks,7.5,196
20131030,Mavericks,home,Hawks,-6,196.5
20131030,Hawks,away,Mavericks,6,196.5
20131030,Pelicans,home,Pacers,0,187.5
20131030,Pacers,away,Pelicans,0,187.5
20131030,Pistons,home,Wizards,-2.5,190
20131030,Wizards,away,Pistons,2.5,190
20131030,Raptors,home,Celtics,-8,189.5
20131030,Celtics,away,Raptors,8,189.5
20131030,Rockets,home,Hornets,-12.5,202
20131030,Hornets,away,Rockets,12.5,202
20131030,Seventysixers,home,Heat,10,196
20131030,Heat,away,Seventysixers,-10,196
20131030,Spurs,home,Grizzlies,-6,188.5
20131030,Grizzlies,away,Spurs,6,188.5
20131030,Suns,home,Trailblazers,5,197.5
20131030,Trailblazers,away,Suns,-5,197.5
20131030,Timberwolves,home,Magic,-10,199
20131030,Magic,away,Timberwolves,10,199
20131030,Warriors,home,Lakers,-13,205.5
20131030,Lakers,away,Warriors,13,205.5
20131031,Bulls,home,Knicks,-7.5,188.5
20131031,Knicks,away,Bulls,7.5,188.5
20131031,Clippers,home,Warriors,-7,205
20131031,Warriors,away,Clippers,7,205
20131101,Hornets,home,Cavaliers,2.5,190
20131101,Cavaliers,away,Hornets,-2.5,190
20131101,Celtics,home,Bucks,-2,187.5
20131101,Bucks,away,Celtics,2,187.5
20131101,Grizzlies,home,Pistons,-7.5,188
20131101,Pistons,away,Grizzlies,7.5,188
20131101,Hawks,home,Raptors,-3.5,196
20131101,Raptors,away,Hawks,3.5,196
20131101,Kings,home,Clippers,3.5,200
20131101,Clippers,away,Kings,-3.5,200
20131101,Lakers,home,Spurs,7.5,207.5
20131101,Spurs,away,Lakers,-7.5,207.5
20131101,Magic,home,Pelicans,3.5,195
20131101,Pelicans,away,Magic,-3.5,195
20131101,Nets,home,Heat,3.5,194.5
20131101,Heat,away,Nets,-3.5,194.5
20131101,Nuggets,home,Trailblazers,-4.5,198
